  grantor  |  grantee  | table_catalog | table_schema |                 table_name                 | privilege_type | is_grantable | with_hierarchy 
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | incident_securitaire                       | TRUNCATE       | YES          | NO
 postgres  | pngie_app | pngie_rdc     | public       | index_recherche_global                     | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | index_recherche_global                     | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | index_recherche_global                     | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | index_recherche_global                     | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | indicateur                                 | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | indicateur                                 | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | indicateur                                 | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | indicateur                                 | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution                                | UPDATE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution                                | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | institution                                | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution                                | REFERENCES     | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution                                | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution_relation                       | SELECT         | NO           | YES
 postgres  | pngie_app | pngie_rdc     | public       | institution_relation                       | DELETE         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution_relation                       | INSERT         | NO           | NO
 postgres  | pngie_app | pngie_rdc     | public       | institution_relation                       | UPDATE         | NO           | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | INSERT         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | TRUNCATE       | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | REFERENCES     | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | TRIGGER        | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | UPDATE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | DELETE         | YES          | NO
 pngie_app | pngie_app | pngie_rdc     | public       | instruction                                | SELECT         | YES          | YES
 pngie_app | pngie_app | pngie_rdc     | public       | instruction_historique                     | INSERT         | YES          | NO
